(-2501.0, -9.0, -2287.0, 1282.0, 2406.0, 75.0, 1434.0, 1197.0, 21.0, 1919.0, -2357.0, -1307.0, -3345.0, -437.0, 905.0, 2204.0, -2482.0, -417.0, -27.0, -341.0, 0.0)		1.0
(394.0, 1673.0, -346.0, -186.0, 1432.0, 2049.0, -301.0, 827.0, 321.0, -1109.0, -871.0, 589.0, 635.0, -1154.0, -1164.0, 1016.0, 1197.0, 61.0, 388.0, 687.0, 1.0)		1.0
(-1084.0, -1283.0, 974.0, -195.0, 1004.0, 528.0, 801.0, 58.0, -459.0, 1639.0, 1447.0, 1429.0, 1814.0, 285.0, 447.0, -64.0, 92.0, 195.0, 967.0, -842.0, 1.0)		1.0
(-887.0, -2133.0, 3447.0, -1881.0, 571.0, 686.0, -3093.0, 1296.0, 367.0, 2.0, 934.0, 43.0, 1293.0, -286.0, -564.0, -784.0, 517.0, -4393.0, 3695.0, -664.0, 0.0)		1.0
(1852.0, 3291.0, -3268.0, 216.0, 2321.0, -2114.0, 3058.0, -4076.0, 18.0, 897.0, 3143.0, 2393.0, -514.0, 2219.0, 1108.0, -4536.0, -2404.0, -2979.0, -19.0, -528.0, 0.0)		1.0
(1848.0, 4483.0, 1565.0, 654.0, 1569.0, -1595.0, 883.0, -318.0, 1495.0, -3102.0, 1109.0, -532.0, -474.0, 1236.0, 325.0, 1806.0, -924.0, -16.0, 76.0, 3892.0, 0.0)		1.0
(1309.0, 4.0, 809.0, -908.0, -692.0, 593.0, 1355.0, 813.0, 1016.0, 102.0, -239.0, 992.0, 2154.0, -513.0, 1082.0, 344.0, 323.0, 58.0, -53.0, -462.0, 1.0)		1.0
(101.0, 1495.0, -936.0, 144.0, -1659.0, -983.0, -2048.0, -2179.0, 482.0, -134.0, -2654.0, 149.0, -351.0, -78.0, -232.0, -464.0, -1102.0, -2364.0, -2077.0, -3267.0, 0.0)		1.0
(-505.0, -1651.0, -2088.0, 2211.0, 895.0, 4804.0, 2929.0, -642.0, -2281.0, 1609.0, 2463.0, 2053.0, 142.0, -385.0, -532.0, 679.0, -252.0, -477.0, 604.0, 652.0, 0.0)		1.0
(2762.0, -306.0, -87.0, 103.0, 653.0, 84.0, 2585.0, 135.0, 538.0, 27.0, 44.0, -714.0, -1876.0, -378.0, 48.0, 1082.0, 1587.0, 627.0, 341.0, 2913.0, 1.0)		1.0
(2353.0, 637.0, 2.0, -551.0, 773.0, 524.0, 1555.0, -602.0, -52.0, 1331.0, -4.0, 2098.0, -352.0, 1729.0, 58.0, 1206.0, 603.0, 206.0, 1788.0, -125.0, 1.0)		1.0
(1919.0, 811.0, -407.0, 963.0, -226.0, 1301.0, 1157.0, 856.0, -1116.0, 1938.0, 137.0, 29.0, -518.0, -264.0, 61.0, 114.0, -681.0, 1137.0, -797.0, 449.0, 1.0)		1.0
